author/fastFollowersCount,favourites_count,followers_count,author/following,name,uid,listed_count,author/userName,content,createdb,favoritecount,viewCount,retweetcount,replycount,quoteCount,bookmarkCount,media,place,avatar,Pi,Ei,Ni,PZ,DG,NCI,infu
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"BARRON TRUMP PRAISED! (Gateway Pundit) - Former Democrat megadonor John Morgan said Barron Trump is ""smarter than everyone"" on Kamala Harris' failed campaign, crediting his podcast strategy advice for President Trump.

""Barron Trump, who looks like a runway model, was telling his",2024/11/29 14:59,570671,13285246,94145,57587,6218,21284,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,73,90,100,49,18,8,61
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"CHRISTIANS SWAY ELECTION! (Gateway Pundit) - A report by the Cultural Research Center revealed that Christian voters were decisive in President-elect Donald Trump��s 2024 victory, earning him 56% of the Christian vote.

""Christians constituted 72 percent of the overall",2024/11/29 13:50,570454,13277603,94093,57580,6218,21280,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,0,99,78,0,75,5,88
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Joe Biden abandoned the people of WNC to keep them from voting for Trump.  Instead they voted in record numbers!,2024/11/29 12:17,570349,13272831,94064,57571,6215,21279,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,81,75,93,41,18,36,29
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"The people who are pessimistic about the Trump admin now are the same people who were saying we couldn't ""beat the cheat"" a month ago.  Face it, some people are just negative by nature.",2024/11/29 11:54,570066,13266932,93964,57563,6213,21278,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,89,81,2,74,82,1,30
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"ABOUT CONGRESS! - Donald Trump doesn't need 60 votes to pass ANYTHING important during this term.  Tax reform requires only 51 votes like last time.  Everything else can be done by executive order and just enforcing the laws we already have.

Of course there is the budget and https://t.co/uBybLZ9mPa",2024/11/29 11:23,570003,13265017,93959,57556,6213,21278,https://pbs.twimg.com/media/GdjG3-VXgAA45n8.png,,https://pbs.twimg.com/profile_banners/17980523/1723738910,91,47,67,38,61,24,12
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Think of all the headwinds Trump does NOT face this time he did in 2016:

1. Russiagate investigation.
2. RINO's in his administration.
3. McConnell and Ryan leading Congress.
4. Lack of experience in government.

This time he has a loyal entourage and Elon.",2024/11/29 11:19,569819,13255870,93889,57542,6208,21274,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,50,8,13,7,32,19,41
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Walking into your liberal relatives house after they laughed at you for supporting Trump! https://t.co/TOSubPXTyp,2024/11/28 22:08,569695,13252765,93875,57519,6207,21273,https://pbs.twimg.com/tweet_video_thumb/GdgREaHWcAAPoAH.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,79,93,71,63,66,70,48
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Just for fun, Democrats tell us Donald Trump will NEVER be president of the United States!  Wrong...twice! https://t.co/DMOf1HA1zq",2024/11/28 20:48,569490,13247291,93849,57509,6204,21271,https://pbs.twimg.com/ext_tw_video_thumb/1862236949865484288/pu/img/SQc5WaWpCa3Y7twL.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,8,47,75,88,17,5,49
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,I'm still in the state of shock?that we were able to win?all seven swing states?knowing how easily Democrats cheat. I think they were just intimidated?by Trump's promise of prosecution andthe RNC's legal teams.,2024/11/28 20:17,569325,13242581,93776,57498,6197,21257,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,39,52,21,43,0,18,28
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,I predict that Donald Trump's first hundred days in office?are going to be the best first hundred days?of any president in history!,2024/11/28 20:13,569288,13237844,93770,57486,6196,21257,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,57,92,79,41,12,4,26
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Will Democrats admire the fact that Trump has added so many strong intelligent women to his administration or will they say these "aren't really women" because they're not Democrats? https://t.co/0m5hWAExn8,2024/11/28 16:48,569118,13231953,93742,57479,6194,21257,https://pbs.twimg.com/media/GdfH8NpWkAALii1.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,9,11,85,40,74,46,84
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"Trump's leverage comes from the fact that people think he will actually do what he says he's going to do.?Biden never had leverage because nobody?feared him.?Like we're finding out?with #DOGE, sometimes the fear of something?can be as effective?as a thing itself.",2024/11/28 13:46,569069,13230377,93730,57471,6194,21257,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,77,5,49,44,57,92,85
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"ZUCKERBERG MEETS TRUMP! (Gateway Pundit) - Facebook founder Mark Zuckerberg met with President-elect Donald Trump at Mar-a-Lago, with speculation rising about a possible alliance.

""Zuckerberg called him to apologize over artificial intelligence erasing mention of his https://t.co/HkXnJTeilg",2024/11/28 13:28,568952,13223010,93678,57465,6193,21257,https://pbs.twimg.com/media/GdeaD0XWkAA2dSl.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,61,93,47,76,54,29,72
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"Something big is happening.  MSNBC?and CNN ratings are plummeting. Mark Zuckerberg?is visiting Mar-A-Lago. The Young Turks?have praise for Donald Trump.

If we don't manage to screw this up, we could be running things in this country for a long time.",2024/11/28 11:50,568930,13219933,93673,57459,6192,21257,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,35,38,65,70,34,39,92
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"BORDER DEAL MADE! (Breitbart News) - President-elect Donald Trump announced that Mexico's President, Claudia Sheinbaum Pardo, has agreed to halt migration into the United States.

""She has agreed to stop Migration through Mexico, and into the United States, effectively closing https://t.co/UnRyqBtgkE",2024/11/28 10:13,567837,13209492,93495,57385,6187,21253,https://pbs.twimg.com/media/GddtaP6X0AAwd1G.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,82,97,54,60,71,56,98
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,The world is even more afraid of Trump now because they know he doesn't have to worry about re-election.,2024/11/28 2:19,567784,13207256,93481,57378,6186,21253,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,27,93,6,45,69,9,19
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"BIG BALL ENERGY:

The advantage Trump has is that everyone knows he has the balls to carry out his threats.  NO ONE feared Biden after Afghanistan.",2024/11/28 1:50,567379,13198115,93387,57359,6179,21253,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,6,49,59,0,16,36,0
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Amazing what a little tariff leverage and the courage to impose them will do!  Trump has already done more to stop illegal immigration than Biden did in 4 years and he's not even president yet! https://t.co/AIVhgZbvw4,2024/11/28 1:42,567225,13194966,93371,57350,6179,21251,https://pbs.twimg.com/media/Gdb4bc9WoAAd1ju.png,,https://pbs.twimg.com/profile_banners/17980523/1723738910,93,69,49,19,39,64,36
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,I think a lot of the former Trump haters have a new respect for him because he overcame every obstacle and and pulled off the greatest comeback in political history.,2024/11/28 0:26,566882,13176528,93247,57328,6174,21247,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,84,86,11,65,24,93,19
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"Oh man, can you just imagine the liberal heads exploding if Zuckerberg goes MAGA?",2024/11/28 0:25,566527,13169095,93179,57295,6173,21246,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,34,30,79,37,67,44,49
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Favorite Thanksgiving main course:,2024/11/27 21:33,566255,13153461,93089,57232,6170,21244,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,3,84,12,53,20,14,76
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"BIDEN APPROVAL DROPS! (Breitbart News) - Biden's approval hits a record low of 36%, while Trump's favorability climbs to 54% as he prepares to re-enter office, according to an Emerson College poll.

""Trump's 54 percent favorability rating means the president-elect will enter https://t.co/MUxVvYZNW0",2024/11/27 21:15,566216,13146891,93053,57205,6169,21244,https://pbs.twimg.com/media/Gda7fhaWQAAMiJ3.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,40,58,69,0,5,55,43
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"PRIMAL SCREAM PROTEST! (Breitbart News) - A group of disheartened leftists gathered at Klode Park, Whitefish Bay, for a ""primal scream"" session to release their frustration after Trump's election victory.

""What a gorgeous morning to gather at Klode Park... to release our pain https://t.co/QiGtCGHVcn",2024/11/27 21:04,566068,13137917,92989,57193,6167,21244,https://pbs.twimg.com/media/Gda4zVLXMAAMCVp.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,80,0,41,20,73,89,94
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Major Democrat donor says the way Kamala wasted donor money disqualifies her from ever holding public office. https://t.co/1skblc097N,2024/11/27 19:48,566036,13132359,92958,57177,6166,21244,https://pbs.twimg.com/ext_tw_video_thumb/1861859716864868352/pu/img/H35SDgzQyvbnYgAm.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,77,90,13,49,54,72,36
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"I thought X wanted this to be a news site?  Every time I make a news post so people can learn and understand, X murders it.  Ok fine, no more news posts.  I'll just make ridiculous claims with no backstory like so many ""influencers"" on here.",2024/11/27 18:42,565787,13128716,92866,57171,6161,21227,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,72,99,28,73,90,49,23
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"DONORS BLACKLIST KAMALA! (Breitbart) - MEGADONOR MORGAN criticized KAMALA HARRIS's campaign for misuse of donor funds, calling it disorganized and focused on opposing TRUMP instead of supporting her. He argued this showed HARRIS lacked the ability to lead or handle money https://t.co/2uaGBS541A",2024/11/27 17:13,565751,13125270,92861,57157,6161,21226,https://pbs.twimg.com/media/GdaCYlJXUAA51iX.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,89,3,37,88,43,22,2
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"THE TRUMP EFFECT! (Breitbart) - The U.S.-brokered ceasefire between ISRAEL and HEZBOLLAH took effect, with the IDF beginning to withdraw from southern Lebanon as the LEBANESE ARMED FORCES move in. HEZBOLLAH will retreat north of the Litani River as part of the agreement.

Many https://t.co/PRpTczDq5P",2024/11/27 17:12,565708,13123414,92848,57151,6160,21226,https://pbs.twimg.com/media/GdaDzbTW0AAM79Q.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,13,42,38,2,28,84,44
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"I don't mean to sound unsympathetic, but this ""liberal primal scream"" thing is JUST HILARIOUS.

https://t.co/6KymOsCIkn",2024/11/27 15:59,565679,13121675,92838,57146,6159,21225,https://pbs.twimg.com/amplify_video_thumb/1861777292805943296/img/KNoScDJURoDYOUvN.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,92,72,29,8,73,92,61
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"So now that the election is over, Team Kamala admits that they knew they were never ahead in the polls despite the fact they went on the news shows and promoted that lie the entire time?

Question.  WHY are they confessing to this?",2024/11/27 14:06,565633,13118743,92829,57135,6156,21222,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,91,66,79,81,95,63,79
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"Wait, the same media that gave Kamala 24/7 positive fawning coverage and fake polls lost her the election?

https://t.co/cjMVJRkCoY",2024/11/27 12:44,565537,13116014,92818,57125,6156,21222,https://pbs.twimg.com/ext_tw_video_thumb/1861470316066742272/pu/img/NdI1LeLjRszdqDah.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,89,67,95,14,75,91,60
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,If I had to pick a favorite Thanksgiving food I'd say garlic mashed potatoes with a big pat of butter and lots of gravy! https://t.co/JeGfKjXah0,2024/11/27 12:26,565507,13113768,92812,57118,6156,21222,https://pbs.twimg.com/media/GdZCKxXWEAAwnmv.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,82,19,79,99,34,50,60
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Favorite Thanksgiving pie:,2024/11/27 12:08,565470,13111854,92806,57102,6156,21222,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,54,91,10,86,74,4,17
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Why is stuffing SO GOOD? https://t.co/sGeSlcBcJ8,2024/11/27 12:07,565459,13109592,92799,57095,6156,21222,https://pbs.twimg.com/media/GdY9_xdXsAAVuTl.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,100,56,42,55,21,97,22
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,What's the secret to cooking a juicy turkey?,2024/11/27 12:06,565425,13107540,92794,57083,6156,21221,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,45,99,9,10,60,39,11
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,If I gave you $1000 right now.  What would you spend it on?,2024/11/27 11:56,565362,13093351,92788,56894,6154,21218,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,84,4,46,32,32,89,89
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Have you ever rolled your ankle?  The WORST.,2024/11/27 11:39,565236,13069596,92771,56403,6135,21215,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,100,2,74,53,54,56,100
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,What's pissing you off today?,2024/11/27 11:33,565194,13067059,92766,56385,6135,21215,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,5,0,4,27,22,16,3
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"The Kamala Campaign was peak bullsh*t - and now they admit it!

""We knew we were never in the lead and couldn't understand the public polling."" - Kamala Campaign https://t.co/rbLICDjoSI",2024/11/27 11:31,565156,13057989,92760,56329,6132,21215,https://pbs.twimg.com/media/GdY1dIjWMAAmZjP.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,0,85,92,53,81,20,21
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Have you ever been ""de-banked"" for being a Conservative?  I have.  3 times.  

Wells Fargo, Bank of America and Chase.  All three debanked me without explanation in the same month. Not only did they debank me, they froze my funds for 60 days!  No reason.  No recourse.",2024/11/27 11:26,564988,13054789,92708,56318,6131,21214,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,98,36,34,67,93,3,95
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"TOLD YOU THE PUBLIC POLLING WAS BULLSH*T.

Now the Kamala Campaign admits ""we were never in the lead!""

[Plouffe also admitted that internal polling also showed that Kamala Harris never took the lead over Trump, even admitting that public polls showing Harris in the lead left him",2024/11/27 10:53,564965,13053038,92699,56308,6131,21212,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,9,76,65,39,51,41,38
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Just me or does Kamala look like a dude in a wig in this video?

https://t.co/fkpCzJCIOU",2024/11/27 9:37,564866,13047471,92679,56299,6130,21210,https://pbs.twimg.com/media/GdWOKwoWkAAmayP.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,27,13,88,71,20,62,85
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,The Democrat has finally taken the lead in CA.  Time to stop counting!,2024/11/27 8:58,564832,13044815,92674,56278,6130,21208,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,89,48,12,88,59,25,46
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"When I see the cheating happening downballot in CA, I fall on my knees and thank the Lord we won this thing.",2024/11/27 8:52,564761,13038359,92653,56263,6128,21206,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,78,25,35,2,52,55,24
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Mail-in ballots had to be IN in California 2 weeks ago and yet they are STILL finding votes and guess what?  They are ALL for the Democrat!,2024/11/27 2:54,564424,13034324,92596,56244,6127,21206,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,74,67,28,94,19,33,9
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,How they hell are they STILL "finding votes" in California 21 days after the election when CA only allows absentee ballots up to 7 days after the election?  Such BS.  Where have these "magic votes" been hiding?,2024/11/27 2:51,564188,13029738,92537,56212,6125,21204,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,28,46,94,40,11,13,53
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"OF COURSE, you knew if they counted long enough the Democrat would eventually take the lead in CA.",2024/11/27 2:46,563935,13025635,92462,56199,6122,21203,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,82,3,75,77,20,24,60
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Construction bosses in Texas are bitching that Trump will keep them from hiring illegals.  Well, I guess you'll just have to hire Americans and make a little less profit.  You were paying these illegals poverty wages and counting on the taxpayer to make up the difference.",2024/11/27 1:12,563612,13015272,92359,56135,6116,21196,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,26,57,23,42,45,37,65
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"I listen to Kamala Harris speak and I ask myself, did this clown really get 49% of the popular vote?to become President of the United States??Either she cheated a lot or half of the country is completely out of their f*cking minds.",2024/11/27 1:09,563386,13011488,92325,56121,6112,21196,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,12,77,74,75,38,77,56
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,"Hey Kamala, 

Trump took your power.",2024/11/27 1:06,562773,13003600,92225,56058,6111,21194,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,6,37,78,44,8,82,56
0,38944,444975,14224,Bill Mitchell,17980523,267127,mitchellvii,Kamala Harris talks?like someone who is trying to imitate the way they think smart people sound.,2024/11/27 1:03,562665,13000541,92212,56051,6111,21193,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,7,93,40,17,71,22,6
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"Kamala is spewing the same vacuous bullshit she spewed before the election now.  Sad.

https://t.co/fkpCzJCIOU",2024/11/27 0:56,562615,12996507,92204,56037,6110,21191,https://pbs.twimg.com/media/GdWOKwoWkAAmayP.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,83,49,67,60,12,90,43
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,It really is strange that Donald Trump won Arizona by almost six points and yet we lost the Senate seat?,2024/11/26 23:54,562531,12988761,92194,56002,6109,21189,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,76,24,84,13,30,86,28
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"MEDIA SHAKE-UP COMING? - President-elect Trump may rearrange the White House press seating to favor new media figures like Megyn Kelly and Joe Rogan, leaving out some establishment outlets. ""That's a great idea, Don,"" Trump said. 

Isn't it amazing to watch the lying media lose https://t.co/vHuKNiEfly",2024/11/26 22:52,562280,12978724,92132,55917,6107,21189,https://pbs.twimg.com/media/GdWIAIPWsAAbo0G.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,62,14,13,13,48,39,46
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"THE MOST PROPOSTEROUS talking point of the Leftist Media is that Trump's tariffs are going to cause INFLATION.

But they forget that Trump had tariffs in his first term and inflation averaged 1.5%!  Tariffs do NOT cause inflation.  The suppliers do not raise their prices to match",2024/11/26 22:07,562137,12975983,92088,55908,6105,21187,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,87,7,78,13,59,75,9
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Who is the biggest douchebag?,2024/11/26 21:55,562096,12974048,92079,55903,6105,21185,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,35,84,35,67,4,25,80
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"WARNING TO DEMOCRATS:

Trump's Legacy is going to be kicking your ass.?He has nothing else to?worry about.?He's never going to run for election again.?He can just spend the next 4 years?wrecking your?pathetic corrupt party.",2024/11/26 21:44,562053,12967412,92059,55859,6105,21185,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,1,46,21,42,95,35,34
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Pam actually looks shockingly like my girlfriend?that I had when I was 34. They could be sisters.?Her name was Cindy. That's the girl that I should have married.,2024/11/26 21:23,561751,12963987,92009,55848,6105,21183,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,38,26,4,17,26,93,78
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Trump's secret weapon is the fact that this is his final term. He never has to worry about re-election again.?He can go balls out and do whatever he wants.?That should terrify the Democrats.,2024/11/26 21:22,561704,12959986,92002,55835,6105,21182,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,46,90,11,3,84,97,21
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Should @elonmusk be allowed to buy MSNBC? https://t.co/SdFOdzft14,2024/11/26 21:19,561380,12956416,91974,55830,6103,21181,https://pbs.twimg.com/media/GdVysWyW0AA0bBU.png,,https://pbs.twimg.com/profile_banners/17980523/1723738910,36,91,60,8,11,66,37
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"CNN panel thinks that Elon Musk can't buy?MSNBC.?I never bet against Elon Musk doing anything he says he's going to do.?It's fun watching them sweat though.

https://t.co/KosbFq3HsU",2024/11/26 21:16,561312,12954229,91964,55809,6101,21180,https://pbs.twimg.com/amplify_video_thumb/1861266407754764288/img/WfFahi6Eb9ACs14u.jpg,,https://pbs.twimg.com/profile_banners/17980523/1723738910,62,32,71,22,90,45,87
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Donald Trump is doing more to end illegal immigration before he becomes president and Joe Biden did in 4 years.,2024/11/26 21:12,561236,12950885,91952,55797,6101,21180,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,83,67,29,3,96,19,40
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,"Are you even a little bit afraid of Mexico?putting tariffs on the United States??What are they going to put tariffs on, taco shells and guacamole??Funny party hats?",2024/11/26 21:12,561037,12947850,91930,55791,6101,21180,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,94,38,12,61,55,49,92
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,I guess I won't be buying all that fancy sh*t from Mexico I normally buy. You know all those high-end electronics?and quality automobiles.  What a joke.?I can live without guacamole.,2024/11/26 21:11,561023,12945383,91922,55778,6101,21180,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,30,45,42,44,63,95,10
0,38944,444973,14224,Bill Mitchell,17980523,267127,mitchellvii,Donald Trump is beating illegal immigration and he's not even president yet. That's how you get it done. It goes to prove that Joe Biden didn't fix illegal immigration because he didn't want to.,2024/11/26 21:09,560976,12942002,91917,55761,6101,21180,,,https://pbs.twimg.com/profile_banners/17980523/1723738910,30,3,80,1,57,62,99
