user_id,comment_time,comment_content,comment_location
963832bc-2760-48b4-b1bd-ba587a52403b,1727259657,"The media is clearly biased towards one candidate, it's unfair to the voters.",Florida
473628ca-c44b-4c53-bbd9-961afa9d62c4,1703048613,"I'm so excited to vote this year, it's important for everyone to have their voice heard.",South Carolina
69868926-52e0-4b03-8877-9eb5c9ae475e,1705558202,"This election is the most important one in our lifetime, make sure to vote!",Arkansas
55d04299-fcbd-4766-87b3-9ced372e151f,1720142209,"The debate was disappointing, none of the candidates addressed the real issues we're facing.",California
6e5e2730-9de4-476e-b0c2-73362b26a210,1708608890,"This election is the most important one in our lifetime, make sure to vote!",Connecticut
70929fa4-3644-4fba-94d1-1800d6371e3a,1719576076,"The media is clearly biased towards one candidate, it's unfair to the voters.",Missouri
a106c420-cdc4-46a8-a801-2d9d047a4d71,1706109527,"I'm so excited to vote this year, it's important for everyone to have their voice heard.",Arkansas
e4e58e0e-bc2e-41b9-96f3-5bb1eb1e9b32,1730963907,"The media is clearly biased towards one candidate, it's unfair to the voters.",Montana
ecea58b2-215a-4a91-868b-77a66c175ec3,1710860143,"I'm so excited to vote this year, it's important for everyone to have their voice heard.",Connecticut
edce6aed-b7ae-4d2d-ab6c-5483cc180a81,1707350682,"This candidate is completely unfit for office, their policies are a disaster waiting to happen.",Iowa
5262431b-0599-4951-ae05-fba607b99b61,1717182813,"The media is clearly biased towards one candidate, it's unfair to the voters.",Virginia
d01080a2-1686-40c6-a41e-067e86d5f9c4,1718446197,The candidate's stance on healthcare is exactly what this country needs.,Nevada
c50456c9-4e45-47d1-b352-dfc3284e8e66,1730027415,"This candidate has no real plan, just empty promises. We deserve better leadership.",Connecticut
cd4eda12-f330-48db-a8ca-e39469e73223,1713935981,"The candidates have some good points, but also some flaws. We need more balanced discussions.",Minnesota
0f1fcb66-adbc-4ba4-8442-ff7d9ded0c1d,1731366308,"I believe in change, and this election is the perfect opportunity to make it happen.",Idaho
f39a5368-cc74-4d74-a6f4-7df6b98e32f4,1721720301,"I'm so excited to vote this year, it's important for everyone to have their voice heard.",Wyoming
3d93caf1-89b8-4629-9cc1-5d92b37e9fd5,1726543428,"I'm so excited to vote this year, it's important for everyone to have their voice heard.",Mississippi
b0faea6c-9bec-48ce-aa70-0a8b8ec2a140,1706147253,"I fully support the current candidate, their policies are exactly what our country needs!",Pennsylvania
444fb344-b866-41b4-9c93-ffa669c05c0d,1728245342,"The media is clearly biased towards one candidate, it's unfair to the voters.",Montana
7614ed15-9ed2-4052-9f65-f0a6bcbdc6a6,1728734205,"Great leadership is what we need, and this candidate can provide that!",Missouri
fd52d97f-5f3f-41a0-b5b0-e1ef27d815d9,1704669067,"I believe in change, and this election is the perfect opportunity to make it happen.",Nebraska
403a63bc-739b-4d14-8296-35363fd09cf4,1726902960,"I believe in change, and this election is the perfect opportunity to make it happen.",Montana
8b526300-3342-4a67-ab04-ed3e3069568d,1724934597,"The election process seems flawed, we need better transparency to trust the results.",Indiana
ccb5d8e8-7aad-4ec4-8391-5fe80cec37f8,1726092036,"No matter who wins, we must stay united as a country. Division will only harm us.",Utah
64031613-a78b-4242-8d7a-06d9ed04daf0,1702746098,"No matter who wins, we must stay united as a country. Division will only harm us.",Maine
72b316ef-968e-4358-b04e-f7c35bd2c486,1714324095,"The debate was disappointing, none of the candidates addressed the real issues we're facing.",Texas
c2cb5b12-29b0-4da1-a78f-6d46bf1541d6,1724496077,"I'm so excited to vote this year, it's important for everyone to have their voice heard.",Washington
dd6eac7e-4594-4822-908f-ffc54d3ef319,1730245738,"The election process seems flawed, we need better transparency to trust the results.",Missouri
e91d5826-8a8d-424c-b899-6af06a4a4bc2,1706919078,"The media is clearly biased towards one candidate, it's unfair to the voters.",New York
61545b47-b2f0-46fe-b0dc-fa96a27d395a,1704406937,"This candidate is completely unfit for office, their policies are a disaster waiting to happen.",Georgia
d576db1b-30bb-4800-b79c-4c1467e62284,1708214568,The candidate's stance on healthcare is exactly what this country needs.,California
5bd7deea-fd39-4312-82df-2b776bd60d40,1718140350,"Great leadership is what we need, and this candidate can provide that!",New Hampshire
00d0041a-f849-4ced-acf8-bb51b5a25500,1718086889,"The debate was disappointing, none of the candidates addressed the real issues we're facing.",Maryland
555ce9ad-5a4b-4cce-a431-eb7aecbb674c,1719814384,"The election process seems flawed, we need better transparency to trust the results.",Nebraska
77937925-d426-4be4-ba46-11ea740d6b83,1706341949,"This candidate has no real plan, just empty promises. We deserve better leadership.",Kentucky
